#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
00.00,100,0,17,2.646,s
01.00,100,1,18,2.725,s
02.00,100,3,19,2.804,s
03.00,100,5,20,2.883,s
04.00,100,6,21,2.962,s
05.00,100,8,23,3.000,s
06.00,100,9,24,2.959,s
07.00,100,11,24,2.880,s
08.00,100,13,24,2.837,s
09.00,100,15,24,2.806,s
10.00,100,16,23,2.727,s
11.00,100,18,22,2.705,s
12.00,100,20,21,2.700,s
13.00,100,22,20,2.659,s
14.00,100,24,24,2.636,s
15.00,100,25,27,2.580,s
16.00,100,27,30,2.501,s
17.00,100,29,35,2.466,s
18.00,100,31,39,2.430,s
19.00,100,33,43,2.376,s
20.00,100,34,45,2.317,s
21.00,100,36,45,2.270,s
22.00,100,38,45,2.231,s
23.00,100,40,45,2.152,s
24.00,100,42,45,2.150,s
25.00,100,44,45,2.142,s
26.00,100,45,45,2.171,s
27.00,100,47,45,2.155,s
28.00,100,49,45,2.115,s
29.00,100,51,45,2.121,s
30.00,100,53,41,2.116,s
31.00,100,54,39,2.147,s
32.00,100,56,39,2.171,s
33.00,100,58,39,2.225,s
34.00,100,60,44,2.301,s
35.00,100,62,45,2.372,s
36.00,100,64,45,2.414,s
37.00,100,65,45,2.452,s
38.00,100,67,45,2.483,s
39.00,100,69,45,2.404,s
40.00,100,71,40,2.350,s
41.00,100,73,37,2.300,s
42.00,100,74,34,2.272,s
43.00,100,76,32,2.251,s
44.00,100,78,31,2.274,s
45.00,100,80,31,2.316,s
46.00,100,82,32,2.345,s
47.00,100,84,32,2.370,s
48.00,100,85,34,2.313,s
49.00,100,87,35,2.286,s
50.00,100,89,36,2.293,s
51.00,100,91,38,2.266,s
52.00,100,93,35,2.259,s
53.00,100,94,35,2.252,s
54.00,100,96,40,2.277,s
55.00,100,98,44,2.333,s
56.00,100,100,45,2.410,s
57.00,100,102,45,2.489,s
58.00,100,104,43,2.568,s
59.00,100,105,42,2.630,s
60.00,100,107,42,2.676,s
61.00,100,109,40,2.752,s
62.00,100,111,44,2.825,s
63.00,100,113,45,2.870,s
64.00,100,115,45,2.887,s
65.00,100,116,45,2.964,s
66.00,100,118,45,3.000,s
67.00,100,120,45,3.000,s
68.00,100,122,45,3.000,s
69.00,100,124,45,3.000,s
70.00,100,125,45,2.983,s
71.00,100,127,43,2.947,s
72.00,100,129,45,2.880,s
73.00,100,131,45,2.812,s
74.00,100,133,45,2.733,s
75.00,100,135,45,2.658,s
76.00,100,136,45,2.592,s
77.00,100,138,45,2.557,s
78.00,100,140,45,2.497,s
79.00,100,142,45,2.462,s
80.00,100,144,45,2.399,s
81.00,100,145,45,2.373,s
82.00,100,147,45,2.324,s
83.00,100,149,45,2.273,s
84.00,100,151,45,2.284,s
85.00,100,153,45,2.300,s
86.00,100,155,45,2.309,s
87.00,100,156,43,2.331,s
88.00,100,158,43,2.347,s
89.00,100,160,44,2.356,s
90.00,100,162,45,2.327,s
91.00,100,164,45,2.305,s
92.00,100,165,45,2.309,s
93.00,100,167,45,2.344,s
94.00,100,169,44,2.337,s
95.00,100,171,42,2.258,s
96.00,100,173,41,2.179,s
97.00,100,175,40,2.109,s
98.00,100,176,42,2.070,s
99.00,100,178,44,2.002,s
100.00,100,180,44,1.928,s
