#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
00.00,100,348,-45,1.552,s
01.00,100,348,-45,1.526,s
02.00,100,346,-45,1.510,s
03.00,100,344,-45,1.504,s
04.00,100,341,-45,1.516,s
05.00,100,336,-42,1.535,s
06.00,100,331,-38,1.566,s
07.00,100,326,-34,1.610,s
08.00,100,319,-30,1.653,s
09.00,100,313,-27,1.706,s
10.00,100,306,-25,1.752,s
11.00,100,299,-24,1.792,s
12.00,100,292,-23,1.828,s
13.00,100,286,-24,1.855,s
14.00,100,280,-25,1.867,s
15.00,100,276,-28,1.865,s
16.00,100,272,-31,1.874,s
17.00,100,269,-35,1.887,s
18.00,100,267,-39,1.882,s
19.00,100,266,-43,1.878,s
20.00,100,267,-45,1.868,s
21.00,100,269,-45,1.862,s
22.00,100,272,-45,1.873,s
23.00,100,276,-45,1.883,s
24.00,100,282,-45,1.907,s
25.00,100,288,-45,1.927,s
26.00,100,296,-45,1.941,s
27.00,100,304,-45,1.943,s
28.00,100,312,-45,1.952,s
29.00,100,321,-45,1.944,s
30.00,100,330,-38,1.939,s
31.00,100,339,-31,1.940,s
32.00,100,347,-24,1.932,s
33.00,100,355,-16,1.942,s
34.00,100,362,-8,1.967,s
35.00,100,368,0,1.997,s
36.00,100,374,8,2.012,s
37.00,100,378,14,2.023,s
38.00,100,381,20,2.024,s
39.00,100,383,25,2.011,s
40.00,100,384,28,2.007,s
41.00,100,383,30,2.001,s
42.00,100,382,31,1.985,s
43.00,100,379,30,1.987,s
44.00,100,376,28,1.999,s
45.00,100,372,25,2.008,s
46.00,100,367,22,2.018,s
47.00,100,361,18,2.020,s
48.00,100,355,13,2.007,s
49.00,100,350,9,1.981,s
50.00,100,344,4,1.948,s
51.00,100,338,1,1.905,s
52.00,100,333,-3,1.879,s
53.00,100,328,-5,1.860,s
54.00,100,323,-6,1.831,s
55.00,100,320,-7,1.814,s
56.00,100,316,-6,1.811,s
57.00,100,314,-4,1.808,s
58.00,100,312,-2,1.795,s
59.00,100,312,1,1.800,s
60.00,100,311,5,1.812,s
61.00,100,311,9,1.812,s
62.00,100,312,12,1.821,s
63.00,100,313,16,1.838,s
64.00,100,315,19,1.863,s
65.00,100,316,21,1.880,s
66.00,100,317,23,1.905,s
67.00,100,319,23,1.910,s
68.00,100,320,22,1.927,s
69.00,100,321,20,1.934,s
70.00,100,321,16,1.956,s
71.00,100,321,11,1.974,s
72.00,100,320,5,1.996,s
73.00,100,318,-1,2.026,s
74.00,100,316,-9,2.067,s
75.00,100,314,-17,2.104,s
76.00,100,311,-25,2.153,s
77.00,100,307,-33,2.212,s
78.00,100,304,-40,2.266,s
79.00,100,300,-45,2.313,s
80.00,100,296,-45,2.359,s
81.00,100,292,-45,2.390,s
82.00,100,288,-45,2.417,s
83.00,100,285,-45,2.449,s
84.00,100,282,-45,2.476,s
85.00,100,279,-45,2.492,s
86.00,100,278,-45,2.509,s
87.00,100,277,-45,2.520,s
88.00,100,277,-45,2.538,s
89.00,100,278,-45,2.560,s
90.00,100,281,-45,2.587,s
91.00,100,284,-42,2.615,s
92.00,100,288,-37,2.638,s
93.00,100,293,-32,2.664,s
94.00,100,298,-28,2.686,s
95.00,100,305,-25,2.689,s
96.00,100,312,-23,2.702,s
97.00,100,319,-21,2.713,s
98.00,100,326,-21,2.722,s
99.00,100,334,-22,2.714,s
100.00,100,341,-23,2.700,s
